,ID,N_VICTIMAS,FECHA,HORA,AAAA,MM,DD,HH,DIA_SEMANA,DIA_NOCHE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
0,2016-0001,1,2016-01-01,04:00:00,2016,1,1,4,VIERNES,NOCHE,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,MOTO-AUTO,MOTO,AUTO,-58.47533969,-34.68757022,CONDUCTOR,MASCULINO,19,2016-01-01
1,2016-0002,1,2016-01-02,01:15:00,2016,1,2,1,SABADO,NOCHE,AV GRAL PAZ  Y AV DE LOS CORRALES,AUTOPISTA,9,AUTO-PASAJEROS,AUTO,PASAJEROS,-58.50877521,-34.66977709,CONDUCTOR,MASCULINO,70,2016-01-02
2,2016-0003,1,2016-01-03,07:00:00,2016,1,3,7,DOMINGO,DIA,AV ENTRE RIOS 2034,AVENIDA,1,MOTO-AUTO,MOTO,AUTO,-58.39040293,-34.63189362,CONDUCTOR,MASCULINO,30,2016-01-03
3,2016-0004,1,2016-01-10,00:00:00,2016,1,10,0,DOMINGO,NOCHE,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,MOTO-SD,MOTO,SD,-58.46503904,-34.68092974,CONDUCTOR,MASCULINO,18,
4,2016-0005,1,2016-01-21,05:20:00,2016,1,21,5,JUEVES,NOCHE,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.38718297,-34.6224663,CONDUCTOR,MASCULINO,29,2016-02-01
5,2016-0008,1,2016-01-24,18:30:00,2016,1,24,18,DOMINGO,NOCHE,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.44451316,-34.68475866,CONDUCTOR,MASCULINO,30,2016-01-24
6,2016-0009,1,2016-01-24,19:10:00,2016,1,24,19,DOMINGO,NOCHE,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,MOTO-AUTO,MOTO,AUTO,-58.50095869,-34.6082544,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26
7,2016-0010,1,2016-01-29,15:20:00,2016,1,29,15,VIERNES,DIA,AV GENERAL PAZ Y AV DE LOS CORRALES,AUTOPISTA,9,MOTO-AUTO,MOTO,AUTO,-58.50877521,-34.66977709,CONDUCTOR,MASCULINO,18,2016-01-29
8,2016-0012,1,2016-02-08,01:20:00,2016,2,8,1,LUNES,NOCHE,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,MOTO-CARGAS,MOTO,CARGAS,-58.38048577,-34.61303893,CONDUCTOR,MASCULINO,22,2016-02-08
9,2016-0013,1,2016-02-10,11:30:00,2016,2,10,11,MIERCOLES,DIA,AV ENTRE RIOS 1366,AVENIDA,1,PEATON-AUTO,PEATON,AUTO,-58.39114932,-34.62477387,PEATON,MASCULINO,16,2016-02-10
10,2016-0015,1,2016-02-14,05:14:00,2016,2,14,5,DOMINGO,NOCHE,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,PEATON-AUTO,PEATON,AUTO,-58.4376002,-34.59912758,PEATON,FEMENINO,16,2016-02-14
11,2016-0016,1,2016-02-14,22:00:00,2016,2,14,22,DOMINGO,NOCHE,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,MOTO-AUTO,MOTO,AUTO,-58.36882665,-34.64291993,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14
12,2016-0017,1,2016-02-15,16:54:00,2016,2,15,16,LUNES,DIA,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,PEATON-MOTO,PEATON,MOTO,-58.44989671,-34.65970435,PEATON,MASCULINO,59,2016-02-16
13,2016-0019,1,2016-02-17,09:30:00,2016,2,17,9,MIERCOLES,DIA,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA,CALLE,9,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.50990884,-34.65468721,PEATON,FEMENINO,65,2016-02-17
14,2016-0020,1,2016-02-17,16:00:00,2016,2,17,16,MIERCOLES,DIA,SUIPACHA 156,CALLE,1,PEATON-AUTO,PEATON,AUTO,-58.37952223,-34.60653282,PEATON,MASCULINO,59,2016-03-02
15,2016-0021,1,2016-02-17,23:35:00,2016,2,17,23,MIERCOLES,NOCHE,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,AUTO-AUTO,AUTO,AUTO,-58.45157703,-34.63063795,CONDUCTOR,MASCULINO,34,2016-02-17
16,2016-0022,1,2016-02-21,06:00:00,2016,2,21,6,DOMINGO,DIA,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,MOTO-AUTO,MOTO,AUTO,-58.38144696,-34.61079875,PASAJERO_ACOMPAÑANTE,MASCULINO,41,
17,2016-0025,1,2016-02-28,04:50:00,2016,2,28,4,DOMINGO,NOCHE,AV GRAL PAZ Y AV 27 DE FEBRERO,AUTOPISTA,8,AUTO-AUTO,AUTO,AUTO,-58.46244952,-34.70524971,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28
18,2016-0026,1,2016-02-28,07:30:00,2016,2,28,7,DOMINGO,DIA,HOLMBERG Y VEDIA,CALLE,12,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.49216191,-34.54738649,CONDUCTOR,MASCULINO,30,2016-03-04
19,2016-0027,1,2016-02-28,09:35:00,2016,2,28,9,DOMINGO,DIA,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,AUTO-AUTO,AUTO,AUTO,-58.44497874,-34.63852623,PASAJERO_ACOMPAÑANTE,MASCULINO,34,
20,2016-0028,1,2016-03-02,10:00:00,2016,3,2,10,MIERCOLES,DIA,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,PEATON-CARGAS,PEATON,CARGAS,-58.38199706,-34.60028648,PEATON,MASCULINO,50,2016-03-02
21,2016-0029,1,2016-03-04,17:30:00,2016,3,4,17,VIERNES,DIA,AV CABILDO Y DEHEZA,AVENIDA,12,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.47378664,-34.54153077,PEATON,MASCULINO,38,2016-03-04
22,2016-0031,1,2016-03-08,12:30:00,2016,3,8,12,MARTES,DIA,AV GRAL PAZ Y AV CNEL ROCA,AUTOPISTA,8,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.47064556,-34.69843756,CONDUCTOR,MASCULINO,21,
23,2016-0034,1,2016-03-12,12:30:00,2016,3,12,12,SABADO,DIA,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.40623949,-34.65076549,PEATON,MASCULINO,52,2016-03-12
24,2016-0035,1,2016-03-13,06:00:00,2016,3,13,6,DOMINGO,DIA,AV CORRIENTES Y AV CALLAO,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.39228965,-34.60443527,CONDUCTOR,MASCULINO,34,2016-03-13
25,2016-0036,1,2016-03-14,00:15:00,2016,3,14,0,LUNES,NOCHE,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.37813396,-34.63668504,PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14
26,2016-0037,1,2016-03-19,11:00:00,2016,3,19,11,SABADO,DIA,AV. EVA PERON Y QUIRNO,AVENIDA,7,MOTO-MOTO,MOTO,MOTO,-58.46275892,-34.64358293,CONDUCTOR,MASCULINO,20,2016-03-19
27,2016-0038,1,2016-03-21,08:06:00,2016,3,21,8,LUNES,DIA,AV GRAL PAZ COLECTORA Y ZUVIRIA,AUTOPISTA,8,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.49683458,-34.67892743,PEATON,MASCULINO,29,2016-03-21
28,2016-0039,1,2016-03-23,01:50:00,2016,3,23,1,MIERCOLES,NOCHE,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS,-58.40603217,-34.6088396,CONDUCTOR,MASCULINO,20,2016-03-23
29,2016-0041,2,2016-03-29,11:00:00,2016,3,29,11,MARTES,DIA,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,MOTO-CARGAS,MOTO,CARGAS,-58.4607655,-34.63350444,CONDUCTOR,MASCULINO,54,2016-03-29
